student_id,major,academic_ability,workload_tolerance,strategy,current_semester,gpa,total_courses_completed,total_credits,latent_strength_math,latent_strength_physics,latent_strength_chem_bio,latent_strength_computing,latent_strength_circuits,latent_strength_signals,latent_strength_systems_control,latent_strength_communication,latent_strength_lab_project,latent_strength_humanities_business
34,ECE,0.6110678121682919,0.6590246199093803,gpa_protective,5,2.86,27,75.0,0.278,0.777,0.539,0.722,0.954,0.446,0.635,0.627,0.58,0.496
35,ECE,0.6000946312988583,0.7121666005914266,gpa_protective,2,2.597,12,32.0,0.817,0.743,0.659,0.746,0.653,0.328,0.787,0.584,0.481,0.212
36,CSE,0.4692895104613586,0.6163523113065167,balanced,5,2.506,22,64.0,0.349,0.05,0.539,0.473,0.091,0.784,0.38,0.798,0.473,0.353
37,CCE,0.8761022252185465,0.4236879530833839,gpa_protective,3,3.591,17,47.0,0.98,0.823,0.812,0.704,0.879,0.98,0.705,0.98,0.98,0.863
38,CCE,0.5660981141998187,0.5542354801060425,major_progress,4,3.111,19,53.0,0.37,0.515,0.761,0.844,0.646,0.663,0.631,0.513,0.422,0.618
39,ECE,0.46320253837582437,0.7009406384446727,balanced,3,2.585,15,41.0,0.72,0.871,0.494,0.577,0.577,0.459,0.396,0.665,0.562,0.314
40,CSE,0.5810600511106213,0.6456263806867653,balanced,6,2.825,30,88.0,0.646,0.559,0.734,0.452,0.791,0.98,0.586,0.593,0.325,0.542
41,ECE,0.7177323295287802,0.23898766357929094,balanced,5,3.123,25,71.0,0.696,0.724,0.631,0.741,0.86,0.98,0.98,0.66,0.364,0.576
42,ECE,0.6894756204064827,0.45812326291057653,balanced,2,2.967,12,30.0,0.972,0.493,0.927,0.649,0.952,0.404,0.699,0.587,0.664,0.463
43,CCE,0.5708721495484044,0.5382940853177399,major_progress,8,2.847,27,79.0,0.623,0.382,0.823,0.71,0.246,0.576,0.401,0.803,0.369,0.432
44,CCE,0.8696924737067111,0.4763774728778365,major_progress,4,3.738,22,60.0,0.906,0.884,0.838,0.832,0.98,0.755,0.965,0.98,0.975,0.901
45,CSE,0.5624217652418164,0.18511415077111049,balanced,2,2.428,11,29.0,0.658,0.712,0.305,0.73,0.439,0.355,0.614,0.531,0.52,0.242
46,CCE,0.39699660760904665,0.8254675326546461,major_progress,7,2.11,33,93.0,0.305,0.421,0.265,0.376,0.273,0.342,0.345,0.168,0.529,0.258
47,ECE,0.7043318131438423,0.6498519445098616,balanced,5,2.981,26,70.0,0.865,0.544,0.56,0.565,0.753,0.892,0.636,0.712,0.806,0.652
48,CSE,0.6009471251770991,0.38363752446732424,gpa_protective,8,2.969,32,96.0,0.69,0.338,0.573,0.897,0.604,0.752,0.419,0.502,0.541,0.55
49,CCE,0.44826146504857567,0.43124676682491797,balanced,4,2.334,21,59.0,0.559,0.346,0.526,0.426,0.238,0.609,0.241,0.488,0.524,0.686
50,CCE,0.3459032015656633,0.6948131760416396,gpa_protective,8,2.213,37,105.0,0.348,0.456,0.363,0.57,0.688,0.096,0.605,0.36,0.202,0.133
51,CCE,0.489637722336232,0.4991862421210421,major_progress,8,2.692,42,116.0,0.493,0.594,0.249,0.637,0.466,0.889,0.53,0.707,0.98,0.587
52,ECE,0.6363047289344816,0.26514186717339827,major_progress,6,2.765,17,51.0,0.777,0.411,0.882,0.551,0.604,0.594,0.9,0.966,0.549,0.662
53,ECE,0.4670326963531208,0.6004173912434715,balanced,6,2.297,27,77.0,0.324,0.575,0.682,0.259,0.617,0.585,0.711,0.561,0.713,0.287
54,ECE,0.6977173249085786,0.19611189119409284,balanced,3,2.986,15,43.0,0.915,0.696,0.736,0.778,0.874,0.952,0.585,0.745,0.5,0.837
55,CSE,0.7165662934996424,0.4905820756677289,balanced,5,2.987,28,78.0,0.98,0.516,0.847,0.634,0.672,0.54,0.591,0.808,0.871,0.664
56,CCE,0.5973947856309637,0.6468302681909046,balanced,4,2.698,21,61.0,0.464,0.667,0.377,0.744,0.638,0.703,0.344,0.11,0.897,0.66
57,ECE,0.9182086926317469,0.44848982548530925,balanced,2,3.461,11,31.0,0.98,0.98,0.908,0.98,0.583,0.831,0.98,0.86,0.559,0.821
58,CCE,0.5035884539310785,0.7716906734899465,balanced,5,2.872,26,76.0,0.758,0.728,0.615,0.582,0.337,0.623,0.578,0.732,0.553,0.776
59,CCE,0.34512013458585905,0.7760342173414748,gpa_protective,2,2.387,11,31.0,0.448,0.401,0.095,0.479,0.536,0.508,0.297,0.078,0.462,0.399
60,CCE,0.6804906197301254,0.5476766662291004,gpa_protective,2,3.5,8,24.0,0.98,0.926,0.76,0.619,0.98,0.98,0.781,0.509,0.586,0.7
61,CCE,0.8448893214976486,0.6074598884100975,gpa_protective,3,3.635,16,46.0,0.792,0.934,0.44,0.855,0.795,0.924,0.907,0.87,0.98,0.98
62,ECE,0.5998459410690768,0.44640193632826636,balanced,3,2.602,15,43.0,0.557,0.754,0.522,0.544,0.47,0.283,0.455,0.634,0.695,0.511
63,CSE,0.6898507389857927,0.631413413905483,balanced,4,2.855,22,60.0,0.782,0.962,0.678,0.337,0.455,0.632,0.799,0.646,0.859,0.606
64,ECE,0.7550433027072515,0.7569956660018032,gpa_protective,6,3.53,30,86.0,0.961,0.781,0.802,0.815,0.648,0.973,0.79,0.664,0.641,0.713
65,CCE,0.4587671866225353,0.734337640629666,balanced,8,2.559,21,59.0,0.605,0.346,0.266,0.306,0.697,0.706,0.225,0.303,0.642,0.512
66,CSE,0.8306693068249646,0.3979533774766976,balanced,3,3.485,17,47.0,0.669,0.752,0.697,0.629,0.867,0.823,0.895,0.535,0.956,0.571
67,ECE,0.2869651541123144,0.4499598946427019,balanced,4,1.632,19,53.0,0.05,0.111,0.05,0.25,0.223,0.2,0.261,0.558,0.356,0.356
68,CSE,0.7177501170147021,0.7180468364559996,gpa_protective,3,3.641,13,37.0,0.98,0.617,0.368,0.544,0.782,0.4,0.98,0.939,0.643,0.672
69,CCE,0.8195712192469887,0.7900569237323684,balanced,8,3.453,27,73.0,0.98,0.98,0.782,0.507,0.842,0.98,0.924,0.814,0.98,0.393
70,ECE,0.5389190398341898,0.4786921256218483,major_progress,4,1.957,20,56.0,0.593,0.71,0.527,0.262,0.461,0.706,0.821,0.525,0.664,0.438
71,ECE,0.8554874795019493,0.6555090197044411,major_progress,2,3.259,11,27.0,0.98,0.98,0.977,0.672,0.854,0.98,0.667,0.82,0.933,0.744
72,CSE,0.7215834915039429,0.7335039453764957,balanced,4,3.393,23,61.0,0.498,0.865,0.866,0.907,0.98,0.554,0.885,0.98,0.868,0.599
73,ECE,0.7555791761339711,0.3939776825772,gpa_protective,6,3.351,26,72.0,0.98,0.402,0.773,0.78,0.546,0.937,0.98,0.98,0.86,0.574
74,ECE,0.5890003384614598,0.6474911602250556,balanced,7,3.13,34,96.0,0.699,0.501,0.72,0.589,0.98,0.458,0.57,0.581,0.311,0.756
75,CCE,0.6715279437681195,0.26117204682610823,balanced,7,3.145,22,64.0,0.352,0.825,0.925,0.98,0.639,0.488,0.699,0.545,0.98,0.585
76,CSE,0.7377396946186481,0.2928162756684636,balanced,3,3.274,16,42.0,0.564,0.608,0.722,0.66,0.98,0.947,0.743,0.813,0.958,0.724
77,ECE,0.5159074427861273,0.8322400240196584,major_progress,5,2.44,23,65.0,0.446,0.056,0.605,0.269,0.613,0.081,0.448,0.529,0.482,0.433
78,CCE,0.8165087041768618,0.3144788788909043,gpa_protective,5,3.379,23,67.0,0.787,0.593,0.726,0.757,0.551,0.516,0.98,0.976,0.607,0.897
79,CCE,0.9149239229966889,0.9190986286322702,balanced,2,3.664,11,33.0,0.875,0.815,0.656,0.833,0.66,0.585,0.98,0.98,0.873,0.98
80,CCE,0.4929349286768516,0.30593949426126665,balanced,2,2.578,9,27.0,0.547,0.539,0.36,0.274,0.349,0.781,0.833,0.394,0.8,0.297
81,ECE,0.6629798635041246,0.6750952353470017,major_progress,2,2.574,11,31.0,0.85,0.882,0.836,0.447,0.942,0.428,0.506,0.646,0.726,0.774
82,ECE,0.8791724477315399,0.379236954397877,balanced,6,4.0,32,92.0,0.98,0.98,0.913,0.98,0.951,0.847,0.921,0.502,0.747,0.903
83,ECE,0.7486585937709698,0.6880000116660808,major_progress,4,3.32,20,60.0,0.501,0.98,0.602,0.615,0.362,0.757,0.525,0.845,0.817,0.755
84,CSE,0.8115300193991289,0.39219799875210637,gpa_protective,2,3.441,12,34.0,0.713,0.863,0.838,0.917,0.782,0.98,0.762,0.98,0.576,0.718
85,ECE,0.7624199717860903,0.5342437257506035,balanced,2,2.904,9,25.0,0.895,0.839,0.469,0.566,0.625,0.98,0.692,0.866,0.596,0.575
86,CCE,0.7163699784379447,0.3098610445427587,balanced,4,2.851,21,59.0,0.677,0.846,0.557,0.52,0.81,0.747,0.514,0.676,0.655,0.697
87,CSE,0.7671129876764676,0.6571588490007982,balanced,3,3.3,16,44.0,0.871,0.709,0.743,0.764,0.862,0.733,0.661,0.695,0.641,0.766
88,CCE,0.5297949043126551,0.42525609132172804,balanced,6,2.686,24,70.0,0.904,0.225,0.467,0.381,0.505,0.835,0.598,0.893,0.441,0.509
89,ECE,0.6086020203213123,0.860950286303114,balanced,7,3.272,21,61.0,0.593,0.98,0.669,0.805,0.482,0.763,0.393,0.752,0.695,0.677
90,ECE,0.4788732326740731,0.4857727995088679,balanced,8,2.15,22,64.0,0.106,0.848,0.567,0.391,0.455,0.591,0.525,0.103,0.163,0.599
91,ECE,0.736151052566985,0.3533589012026453,balanced,6,3.524,27,75.0,0.638,0.836,0.51,0.552,0.453,0.963,0.817,0.929,0.701,0.733
92,ECE,0.6132990547404653,0.5398116064104127,gpa_protective,7,2.812,25,69.0,0.937,0.447,0.307,0.823,0.9,0.772,0.631,0.698,0.551,0.438
93,CSE,0.41596213338443067,0.6432279255689345,balanced,8,2.456,27,77.0,0.152,0.587,0.619,0.784,0.354,0.532,0.518,0.559,0.417,0.515
94,CCE,0.719130642437093,0.6880987803287133,balanced,6,2.575,34,96.0,0.274,0.643,0.777,0.282,0.979,0.446,0.709,0.66,0.761,0.925
95,CSE,0.7885087275249408,0.16998602210213373,balanced,2,3.339,11,31.0,0.875,0.694,0.9,0.871,0.542,0.87,0.61,0.867,0.779,0.961
96,ECE,0.21589286985328138,0.6815950834440963,balanced,2,1.679,12,34.0,0.451,0.293,0.2,0.12,0.164,0.558,0.1,0.297,0.05,0.401
97,CCE,0.3831255848862523,0.3240423034912059,gpa_protective,6,1.923,32,90.0,0.419,0.104,0.462,0.402,0.208,0.271,0.203,0.667,0.408,0.329
98,CSE,0.5875061615572189,0.3996537137215441,balanced,3,2.328,16,40.0,0.472,0.593,0.48,0.153,0.309,0.98,0.687,0.609,0.747,0.691
99,ECE,0.37675078300746057,0.41515435337277684,balanced,5,2.032,22,66.0,0.05,0.05,0.512,0.358,0.469,0.347,0.457,0.539,0.367,0.207
100,CSE,0.5831050822034564,0.29963062674687707,balanced,7,2.704,36,100.0,0.98,0.823,0.504,0.313,0.767,0.756,0.861,0.629,0.398,0.37
101,ECE,0.6333778955319288,0.3106732293812483,major_progress,8,3.062,28,80.0,0.491,0.494,0.676,0.739,0.743,0.576,0.59,0.742,0.484,0.605
102,CCE,0.6483987380009602,0.5676555382226816,balanced,7,3.121,25,71.0,0.979,0.753,0.477,0.691,0.629,0.85,0.775,0.569,0.785,0.452
103,ECE,0.5328681123000898,0.3922118946315242,balanced,8,2.546,40,112.0,0.552,0.727,0.21,0.764,0.395,0.644,0.482,0.918,0.079,0.53
104,CCE,0.3156703450658441,0.5491828589738317,balanced,7,1.852,27,81.0,0.207,0.465,0.433,0.225,0.101,0.106,0.189,0.05,0.497,0.208
105,ECE,0.564771325135388,0.06788929790475655,gpa_protective,6,2.901,30,88.0,0.609,0.758,0.551,0.819,0.475,0.48,0.716,0.643,0.391,0.622
106,ECE,0.5898207651778938,0.6745560976086958,balanced,6,2.949,30,82.0,0.553,0.98,0.657,0.579,0.98,0.48,0.619,0.603,0.507,0.287
107,CCE,0.4197244573206764,0.6658722861256289,major_progress,6,1.947,29,85.0,0.469,0.279,0.45,0.204,0.413,0.482,0.29,0.927,0.467,0.483
108,CSE,0.655459764151351,0.7203399988197094,major_progress,8,3.202,23,65.0,0.42,0.545,0.696,0.563,0.386,0.609,0.771,0.615,0.501,0.849
109,CCE,0.7216809198801155,0.40672413401813917,balanced,3,3.251,17,49.0,0.643,0.877,0.797,0.483,0.98,0.98,0.752,0.98,0.722,0.675
110,CCE,0.7527031524315945,0.6300766742038786,balanced,3,3.32,16,44.0,0.98,0.3,0.664,0.851,0.601,0.822,0.823,0.607,0.671,0.935
111,ECE,0.8036168702862037,0.5264006210420284,major_progress,3,3.498,15,41.0,0.977,0.525,0.813,0.849,0.881,0.802,0.831,0.749,0.81,0.883
112,CSE,0.4542041811099912,0.37016466511347507,balanced,7,2.543,19,53.0,0.416,0.166,0.348,0.52,0.523,0.097,0.682,0.5,0.402,0.573
113,CSE,0.3338672183094693,0.6132494602753584,major_progress,5,2.179,22,62.0,0.4,0.33,0.527,0.119,0.434,0.208,0.436,0.14,0.254,0.317
114,CCE,0.4181365297498498,0.564593421335824,balanced,8,2.24,42,118.0,0.368,0.512,0.525,0.369,0.585,0.334,0.486,0.347,0.647,0.511
115,CCE,0.6293717349504815,0.5321335802733962,major_progress,3,2.67,15,43.0,0.591,0.789,0.98,0.515,0.501,0.798,0.851,0.832,0.639,0.751
116,CCE,0.7650482690033608,0.372857060740615,balanced,8,3.303,34,94.0,0.696,0.98,0.717,0.67,0.704,0.642,0.815,0.5,0.701,0.896
117,ECE,0.8936834209157187,0.8069174253558565,balanced,8,3.741,33,97.0,0.98,0.882,0.98,0.737,0.646,0.802,0.784,0.98,0.654,0.838
118,CSE,0.6729704776042799,0.8031506442415197,balanced,4,2.981,22,62.0,0.647,0.73,0.877,0.575,0.54,0.721,0.666,0.36,0.572,0.626
119,ECE,0.3182610409109965,0.5080098206487975,gpa_protective,5,1.79,25,71.0,0.05,0.477,0.082,0.391,0.359,0.4,0.419,0.108,0.188,0.181
120,CCE,0.6477023602136829,0.32065054459067505,major_progress,3,3.15,14,42.0,0.905,0.757,0.626,0.657,0.292,0.634,0.571,0.516,0.809,0.422
121,ECE,0.2889915881862998,0.5139511807947366,major_progress,6,2.014,21,59.0,0.248,0.341,0.096,0.063,0.476,0.388,0.431,0.453,0.05,0.542
122,CCE,0.5598259851050527,0.35133905793333,gpa_protective,3,2.26,15,43.0,0.274,0.634,0.768,0.333,0.498,0.746,0.579,0.98,0.413,0.663
123,CCE,0.6971215511582278,0.7326294200776922,balanced,2,3.067,12,30.0,0.797,0.712,0.502,0.482,0.98,0.569,0.98,0.905,0.698,0.569
124,CSE,0.31802979982960494,0.6507813327482015,balanced,6,2.001,23,67.0,0.352,0.441,0.33,0.312,0.347,0.552,0.203,0.342,0.333,0.15
125,ECE,0.44328460816288523,0.6505238470441872,balanced,7,2.152,36,102.0,0.533,0.166,0.174,0.396,0.615,0.485,0.481,0.342,0.381,0.482
126,ECE,0.593929198370951,0.6071192776052973,major_progress,3,2.509,16,46.0,0.565,0.698,0.506,0.654,0.706,0.59,0.607,0.663,0.637,0.615
127,CSE,0.4635596101596561,0.4414947718191054,balanced,4,2.314,23,65.0,0.571,0.547,0.958,0.05,0.482,0.462,0.323,0.584,0.264,0.459
128,CSE,0.6825047330321052,0.9751888327557368,gpa_protective,4,3.281,22,62.0,0.961,0.641,0.655,0.98,0.682,0.288,0.709,0.709,0.743,0.794
129,CSE,0.805022244062694,0.8984910014640708,gpa_protective,6,3.381,34,96.0,0.664,0.911,0.628,0.928,0.98,0.667,0.971,0.796,0.98,0.506
130,CSE,0.6859138965768441,0.4731313986567246,gpa_protective,7,3.152,35,99.0,0.82,0.736,0.98,0.569,0.368,0.98,0.746,0.51,0.276,0.67
131,CCE,0.7389101913412904,0.6799424408110121,major_progress,6,3.348,30,86.0,0.511,0.635,0.851,0.736,0.958,0.9,0.98,0.98,0.98,0.644
132,CSE,0.2606016595513996,0.3732335380661103,gpa_protective,4,1.551,23,65.0,0.494,0.23,0.072,0.286,0.283,0.632,0.05,0.309,0.405,0.239
133,CCE,0.6733450839060835,0.8372192008940698,gpa_protective,7,3.522,25,73.0,0.532,0.563,0.833,0.705,0.879,0.488,0.919,0.866,0.98,0.77
134,ECE,0.6684623086324153,0.5952981754189809,balanced,2,2.75,10,28.0,0.334,0.921,0.705,0.768,0.535,0.518,0.474,0.779,0.552,0.613
135,CCE,0.5501065483514603,0.434493808749531,balanced,5,2.506,23,67.0,0.856,0.684,0.363,0.98,0.304,0.848,0.097,0.517,0.208,0.527
136,CSE,0.35517822778829905,0.4915497471809072,major_progress,7,1.763,22,62.0,0.1,0.535,0.417,0.079,0.353,0.293,0.32,0.349,0.053,0.068
137,ECE,0.3807378370919486,0.5670881644295135,balanced,4,2.02,19,51.0,0.25,0.495,0.548,0.377,0.331,0.52,0.533,0.553,0.663,0.21
138,CSE,0.7287222648328092,0.7185583434254869,gpa_protective,8,3.605,39,113.0,0.897,0.667,0.98,0.931,0.716,0.949,0.585,0.796,0.735,0.874
139,CSE,0.49355494061682426,0.8066501847014873,gpa_protective,6,2.84,32,90.0,0.658,0.608,0.522,0.593,0.449,0.418,0.728,0.642,0.424,0.783
140,CCE,0.515613330505508,0.5141846596842795,major_progress,2,2.025,10,28.0,0.608,0.515,0.766,0.38,0.297,0.74,0.368,0.615,0.432,0.222
141,ECE,0.7757822305130405,0.6469795483636671,balanced,5,3.195,22,66.0,0.744,0.98,0.512,0.867,0.69,0.919,0.718,0.786,0.613,0.404
142,CSE,0.8782513224777896,0.5642057332759937,major_progress,8,3.94,18,50.0,0.719,0.98,0.98,0.505,0.697,0.98,0.966,0.94,0.833,0.98
143,CSE,0.6328858781808646,0.7908318065963563,balanced,3,2.8,17,45.0,0.773,0.467,0.84,0.325,0.98,0.633,0.906,0.336,0.407,0.776
144,ECE,0.7251551619441476,0.4109875207701096,gpa_protective,6,3.351,25,71.0,0.717,0.697,0.723,0.568,0.98,0.904,0.98,0.861,0.745,0.98
145,ECE,0.09381105806611162,0.5248241616166526,balanced,2,1.242,11,31.0,0.05,0.132,0.342,0.05,0.223,0.328,0.05,0.264,0.05,0.173
146,CSE,0.8702067379221489,0.8957719474337719,gpa_protective,4,3.72,22,56.0,0.776,0.696,0.847,0.84,0.936,0.855,0.842,0.738,0.751,0.757
147,CCE,0.655576656046627,0.7550240054760649,balanced,2,2.777,11,31.0,0.727,0.379,0.673,0.757,0.73,0.381,0.866,0.642,0.679,0.642
148,CSE,0.5619822069379583,0.5535301549455316,balanced,6,2.864,30,88.0,0.748,0.549,0.69,0.523,0.752,0.739,0.816,0.757,0.179,0.555
149,ECE,0.46470346873200585,0.37759988451461385,balanced,4,2.809,20,58.0,0.587,0.719,0.57,0.397,0.203,0.488,0.562,0.465,0.45,0.437
150,ECE,0.32190547132538544,0.3368745026630289,balanced,4,1.903,22,60.0,0.473,0.436,0.436,0.254,0.596,0.05,0.812,0.18,0.21,0.408
151,CCE,0.7207693482782336,0.7219884549899321,gpa_protective,4,3.332,22,62.0,0.745,0.653,0.768,0.737,0.501,0.511,0.46,0.701,0.445,0.849
152,ECE,0.4585938946286002,0.1964836961249952,gpa_protective,8,2.393,26,74.0,0.059,0.837,0.352,0.708,0.541,0.808,0.322,0.489,0.321,0.594
153,CCE,0.7084897428630029,0.533366434325283,balanced,2,3.179,11,29.0,0.694,0.629,0.173,0.533,0.98,0.72,0.757,0.752,0.98,0.543
154,ECE,0.9210537724464619,0.8459164863960097,balanced,8,4.0,23,65.0,0.98,0.98,0.98,0.817,0.98,0.98,0.842,0.875,0.98,0.946
155,CCE,0.847188375604816,0.7456952816358132,balanced,3,3.935,18,46.0,0.855,0.98,0.802,0.98,0.903,0.98,0.781,0.898,0.727,0.869
156,CSE,0.571967526166502,0.4516615556524575,balanced,3,2.425,16,44.0,0.766,0.71,0.51,0.286,0.733,0.723,0.23,0.642,0.628,0.645
157,ECE,0.3468385536320134,0.27708953401900005,balanced,8,1.913,17,47.0,0.344,0.427,0.351,0.197,0.741,0.786,0.134,0.398,0.17,0.05
158,ECE,0.3465331216547788,0.6093470523349623,balanced,7,1.821,35,99.0,0.398,0.248,0.082,0.333,0.243,0.469,0.531,0.05,0.358,0.257
159,ECE,0.6183429850712637,0.46585803524302627,balanced,8,3.197,22,62.0,0.757,0.98,0.547,0.98,0.687,0.834,0.973,0.81,0.757,0.604
160,CSE,0.660177188767383,0.5315787793724372,balanced,7,3.162,35,97.0,0.908,0.511,0.63,0.513,0.561,0.656,0.938,0.881,0.658,0.648
161,CCE,0.610252749443174,0.20547590493999715,balanced,4,2.639,18,54.0,0.856,0.913,0.607,0.501,0.496,0.749,0.585,0.421,0.398,0.723
162,CSE,0.557773249998509,0.5151685763920609,gpa_protective,5,2.81,24,70.0,0.594,0.793,0.5,0.543,0.568,0.505,0.84,0.921,0.657,0.572
163,ECE,0.8920850061887965,0.5149819644123195,gpa_protective,6,3.834,28,80.0,0.891,0.98,0.915,0.952,0.873,0.808,0.974,0.98,0.965,0.926
164,ECE,0.3938881856620285,0.5715311311485901,balanced,8,2.003,24,70.0,0.288,0.514,0.426,0.119,0.668,0.515,0.622,0.388,0.484,0.374
165,CSE,0.47987729920843686,0.9537638109742816,major_progress,6,2.521,18,52.0,0.436,0.593,0.536,0.445,0.579,0.618,0.305,0.483,0.115,0.46
166,CSE,0.8073461463820395,0.4031226621753041,balanced,2,3.174,11,31.0,0.587,0.843,0.964,0.597,0.778,0.922,0.59,0.98,0.98,0.664
167,CSE,0.2085488592127458,0.3844980789775288,gpa_protective,7,1.468,30,84.0,0.542,0.125,0.409,0.05,0.093,0.05,0.259,0.233,0.126,0.287
168,CCE,0.6331888117472819,0.4928582565076574,balanced,3,2.867,15,45.0,0.482,0.434,0.787,0.893,0.98,0.84,0.566,0.807,0.635,0.582
169,CCE,0.38655015399065956,0.677272118878258,balanced,3,1.976,15,41.0,0.05,0.264,0.403,0.19,0.656,0.122,0.104,0.378,0.247,0.145
